bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR,Fraud Savings,FP Loss,Overall Savings
73.0,588.0,586.0,2.0,99.65986394557824,0.3401360544217624,42909.0,42326.0,583.0,72.75884001168927,96.20462046204621,23.445780450356935,72.60034305317325,233200.0,1269780.0,-1036580.0
74.0,587.0,587.0,0.0,100.0,0.0,43496.0,42913.0,583.0,73.76789919722208,96.20462046204621,22.43672126482413,73.60720411663807,233200.0,1287390.0,-1054190.0
75.0,588.0,588.0,0.0,100.0,0.0,44084.0,43501.0,583.0,74.77867739329243,96.20462046204621,21.42594306875378,74.61578044596912,233200.0,1305030.0,-1071830.0
76.0,588.0,588.0,0.0,100.0,0.0,44672.0,44089.0,583.0,75.78945558936276,96.20462046204621,20.415164872683448,75.62435677530017,233200.0,1322670.0,-1089470.0
77.0,588.0,586.0,2.0,99.65986394557824,0.3401360544217624,45260.0,44675.0,585.0,76.79679576435804,96.53465346534654,19.7378577009885,76.36752136752136,234000.0,1340250.0,-1106250.0
78.0,588.0,587.0,1.0,99.82993197278911,0.17006802721088832,45848.0,45262.0,586.0,77.80585494989084,96.6996699669967,18.89381501710585,77.23890784982935,234400.0,1357860.0,-1123460.0
79.0,587.0,587.0,0.0,100.0,0.0,46435.0,45849.0,586.0,78.81491413542365,96.6996699669967,17.884755831573045,78.24061433447099,234400.0,1375470.0,-1141070.0
80.0,588.0,585.0,3.0,99.48979591836735,0.5102040816326507,47023.0,46434.0,589.0,79.82053529988139,97.1947194719472,17.37418417206581,78.83531409168081,235600.0,1393020.0,-1157420.0
81.0,588.0,588.0,0.0,100.0,0.0,47611.0,47022.0,589.0,80.83131349595173,97.1947194719472,16.363405975995462,79.83361629881155,235600.0,1410660.0,-1175060.0
82.0,588.0,587.0,1.0,99.82993197278911,0.17006802721088832,48199.0,47609.0,590.0,81.84037268148454,97.35973597359735,15.519363292112814,80.69322033898305,236000.0,1428270.0,-1192270.0
83.0,588.0,588.0,0.0,100.0,0.0,48787.0,48197.0,590.0,82.85115087755489,97.35973597359735,14.508585096042466,81.68983050847457,236000.0,1445910.0,-1209910.0
84.0,587.0,584.0,3.0,99.48892674616695,0.5110732538330467,49374.0,48781.0,593.0,83.85505303147508,97.85478547854785,13.999732447072773,82.26138279932546,237200.0,1463430.0,-1226230.0
